paes_matematicas,paes_lenguaje,nem,promedio_1anio,promedio_2anio,horas_estudio_semanal,asistencia_pct,cursos_reprobados,ingreso_familiar_miles,distancia_universidad_km,tipo_colegio,trabaja,horas_trabajo_semanal,actividades_extracurriculares,numero_hermanos,promedio_final
725.5,720.6,7.0,4.98,5.04,10.0,91.2,0,888100.0,10.5,0,0,0.0,0,1,6.06
850.0,834.9,7.0,4.96,5.04,8.8,61.1,0,348300.0,23.2,0,0,0.0,1,0,7.0
739.8,682.3,7.0,5.67,5.64,13.2,92.4,0,453900.0,8.5,1,0,0.0,0,2,7.0
526.2,615.8,7.0,4.64,4.68,4.0,78.4,0,926900.0,13.5,0,0,0.0,0,3,5.44
716.7,699.2,7.0,4.74,4.9,13.2,78.6,0,462700.0,18.3,1,0,0.0,1,0,6.23
778.8,711.3,7.0,5.17,5.22,20.0,91.3,0,586800.0,5.1,0,0,0.0,1,3,7.0
845.7,811.4,7.0,5.13,5.22,13.2,88.4,1,298700.0,27.9,0,0,0.0,1,1,6.7
850.0,806.6,7.0,5.0,5.07,13.3,77.5,0,1260000.0,15.1,0,1,10.2,0,0,6.71
677.1,674.0,7.0,5.08,5.1,5.7,87.9,1,1481900.0,2.6,0,0,0.0,1,1,5.95
808.4,728.0,7.0,4.77,4.89,7.5,92.9,0,721100.0,2.7,0,0,0.0,0,0,7.0
640.4,682.1,7.0,4.59,4.69,9.7,83.9,0,1088900.0,4.0,1,1,15.0,0,0,6.15
675.9,673.6,7.0,4.15,4.3,16.6,86.1,1,973300.0,22.0,2,0,0.0,1,4,6.04
664.7,666.2,7.0,4.92,4.93,17.9,92.5,0,933400.0,9.5,1,0,0.0,1,4,6.06
850.0,803.6,7.0,5.59,5.56,14.2,73.0,1,1342100.0,2.6,1,0,0.0,1,0,7.0
735.6,694.7,7.0,4.73,4.79,2.7,83.4,1,170000.0,21.8,1,0,0.0,1,1,7.0
727.5,620.4,7.0,5.02,5.17,5.0,85.0,0,548300.0,7.7,0,1,31.4,0,5,6.1
574.7,671.1,7.0,4.53,4.76,13.6,77.5,0,2578300.0,20.2,1,1,6.2,1,2,5.77
779.9,692.9,7.0,5.02,5.2,9.7,50.0,1,1198200.0,7.9,2,0,0.0,1,1,6.11
734.6,697.0,7.0,4.85,4.97,10.1,69.1,0,276200.0,15.0,1,1,11.8,0,0,6.36
652.9,634.0,7.0,4.9,4.97,12.0,76.8,0,266800.0,8.7,2,1,20.0,0,2,5.8
700.7,692.2,7.0,4.49,4.57,9.8,83.6,1,336200.0,15.4,1,0,0.0,1,1,5.53
570.1,640.3,7.0,4.61,4.78,8.0,89.4,0,1124700.0,8.1,0,0,0.0,0,1,5.79
788.2,765.9,7.0,5.05,5.07,13.4,86.6,0,559900.0,5.4,1,1,11.9,1,0,7.0
626.5,657.6,7.0,4.83,4.96,4.0,70.1,1,839400.0,18.6,2,0,0.0,1,4,5.84
725.4,753.9,7.0,4.79,4.72,24.0,82.8,0,805100.0,7.9,1,0,0.0,0,3,6.68
794.8,743.9,7.0,4.71,4.75,5.9,54.9,1,751700.0,8.8,1,0,0.0,1,1,6.74
720.7,684.4,7.0,4.46,4.56,2.6,88.9,4,2291700.0,11.6,1,0,0.0,1,5,5.31
814.0,711.5,7.0,4.7,4.87,6.9,90.4,2,503400.0,2.5,0,0,0.0,1,2,6.16
701.4,687.0,7.0,4.86,4.92,5.9,75.7,0,1287300.0,2.9,2,0,0.0,1,1,5.73
629.6,638.6,7.0,4.85,4.98,8.0,50.0,0,405800.0,2.3,1,0,0.0,0,0,6.02
720.6,741.2,7.0,5.16,5.21,20.5,83.4,2,337200.0,13.0,0,1,6.8,0,3,5.85
772.0,756.4,7.0,4.29,4.49,26.1,88.2,0,366600.0,34.3,0,0,0.0,0,2,6.37
844.9,786.3,7.0,4.73,4.75,6.0,88.0,0,378000.0,3.2,0,0,0.0,0,5,6.16
450.0,541.2,7.0,4.12,4.3,4.0,88.4,2,294200.0,0.9,1,0,0.0,1,2,4.6
713.3,735.2,7.0,5.34,5.4,2.0,69.7,1,259100.0,3.1,1,1,26.7,1,3,5.42
756.1,722.9,7.0,5.32,5.25,9.8,97.5,0,590200.0,9.2,0,1,6.1,0,4,7.0
747.8,777.2,7.0,5.3,5.3,9.6,74.3,0,733900.0,4.9,0,1,14.5,1,4,5.94
823.4,828.3,7.0,5.18,5.25,8.5,95.5,2,2182900.0,11.2,1,0,0.0,1,4,7.0
527.2,608.5,7.0,4.51,4.61,5.2,74.2,0,2182100.0,10.8,0,0,0.0,0,3,4.84
731.7,730.8,7.0,4.24,4.47,10.5,66.7,1,216700.0,12.6,0,1,24.8,1,1,6.02
695.4,747.8,7.0,5.07,5.12,21.5,80.2,1,387100.0,10.2,1,0,0.0,0,4,6.49
850.0,809.1,7.0,5.57,5.55,3.1,83.6,3,734000.0,13.6,0,1,33.9,0,0,5.35
541.6,594.7,7.0,4.0,4.19,11.9,50.0,0,1618700.0,2.3,1,0,0.0,1,3,5.41
850.0,798.9,7.0,5.21,5.2,13.4,84.7,1,225800.0,4.7,2,0,0.0,1,4,6.84
573.1,669.5,7.0,4.4,4.64,39.0,94.9,2,475800.0,13.1,1,0,0.0,0,2,6.52
782.8,753.4,7.0,5.66,5.6,7.6,65.0,0,656900.0,24.3,1,1,16.6,0,0,7.0
450.0,550.9,7.0,4.33,4.61,15.6,76.8,0,584400.0,4.6,0,0,0.0,0,1,5.12
787.8,764.8,7.0,5.15,5.28,9.4,93.4,0,494900.0,2.5,1,0,0.0,1,2,6.57
760.3,680.9,7.0,4.94,5.06,6.0,94.1,2,621900.0,15.6,2,1,2.7,0,1,5.97
812.0,733.6,7.0,5.34,5.39,6.6,89.0,2,284800.0,9.8,1,0,0.0,1,1,6.19
525.1,606.5,7.0,4.23,4.41,2.0,90.9,1,4768300.0,4.7,2,0,0.0,1,0,5.93
752.3,746.7,7.0,5.0,5.08,14.6,60.3,0,826300.0,5.7,2,0,0.0,0,4,6.86
850.0,762.4,7.0,5.16,5.23,8.1,50.0,0,309900.0,10.1,0,1,4.6,1,1,6.09
790.9,733.6,7.0,4.82,4.91,4.8,90.0,0,703300.0,8.7,1,0,0.0,0,2,5.82
746.5,730.5,7.0,5.31,5.39,26.4,94.2,0,987200.0,8.9,0,1,21.2,0,2,6.66
680.8,689.8,7.0,4.97,5.05,9.4,81.2,0,589700.0,3.9,2,0,0.0,1,2,6.59
729.4,701.2,7.0,4.98,4.99,14.9,81.6,0,464300.0,2.1,0,0,0.0,1,1,7.0
770.1,785.8,7.0,5.25,5.22,25.1,76.4,0,559200.0,14.0,0,0,0.0,0,1,6.87
763.3,731.3,7.0,5.22,5.32,11.2,68.8,0,1691200.0,6.1,0,1,9.3,0,1,6.32
608.4,619.1,7.0,5.01,5.05,10.3,80.5,1,181000.0,12.9,0,0,0.0,0,1,5.87
672.5,670.2,7.0,5.0,5.14,12.4,79.6,1,264300.0,19.9,0,0,0.0,1,2,6.34
850.0,793.3,7.0,5.62,5.62,9.8,79.1,0,613700.0,11.5,0,0,0.0,1,1,6.94
726.6,788.6,7.0,5.37,5.33,10.0,80.6,0,250100.0,2.6,2,0,0.0,1,2,7.0
705.3,666.5,7.0,5.24,5.33,16.0,50.0,1,1439000.0,7.7,0,0,0.0,1,1,6.38
791.3,742.1,7.0,4.68,4.83,10.3,81.5,0,272000.0,5.9,1,0,0.0,1,1,6.68
509.9,614.1,7.0,4.0,4.25,8.0,85.9,1,428800.0,18.3,0,1,14.1,0,2,4.48
682.2,637.8,7.0,4.77,4.91,28.3,75.3,1,125600.0,3.0,0,1,9.2,0,0,6.0
836.5,801.7,7.0,5.31,5.4,13.1,77.0,0,2380100.0,4.8,0,0,0.0,1,1,6.99
746.7,711.8,7.0,5.06,5.05,3.5,55.1,2,1725900.0,9.9,0,0,0.0,1,2,6.69
728.1,757.2,7.0,4.72,4.81,8.9,89.9,0,176300.0,4.4,2,1,6.4,0,1,6.91
595.9,666.9,7.0,4.17,4.43,14.6,98.5,1,1025200.0,8.9,2,0,0.0,1,1,5.35
849.5,768.8,7.0,5.41,5.46,11.1,85.5,1,3269000.0,8.5,1,0,0.0,0,1,7.0
622.9,711.1,7.0,4.78,4.99,12.5,68.7,0,1957700.0,1.1,0,0,0.0,0,2,6.72
643.6,649.7,7.0,4.75,4.86,9.9,82.6,1,653900.0,7.2,2,0,0.0,1,2,6.09
605.3,650.1,7.0,4.47,4.59,4.2,77.9,0,2647200.0,15.8,1,0,0.0,0,1,5.41
830.7,715.0,7.0,5.53,5.44,8.3,86.0,0,661000.0,7.9,0,0,0.0,1,1,6.32
798.9,754.7,7.0,5.26,5.41,2.0,68.6,0,1741600.0,7.9,1,0,0.0,0,2,6.75
589.6,663.3,7.0,4.42,4.52,21.0,88.9,1,372600.0,2.0,0,0,0.0,0,5,5.35
679.9,721.3,7.0,4.72,4.91,11.5,91.4,0,670200.0,5.0,0,0,0.0,0,2,6.76
809.8,777.1,7.0,4.69,4.76,18.2,62.1,0,3580300.0,11.5,2,0,0.0,1,3,6.94
668.9,670.4,7.0,4.47,4.68,12.1,63.6,1,651200.0,1.6,0,1,0.2,0,0,6.16
709.7,634.9,7.0,4.66,4.88,20.7,93.1,0,5906100.0,2.7,0,1,10.7,1,1,6.73
743.1,724.9,7.0,5.23,5.09,14.9,82.8,0,542300.0,11.2,0,0,0.0,0,2,6.68
618.1,624.8,7.0,4.25,4.39,15.5,74.5,0,771400.0,16.2,0,1,14.4,1,2,5.84
703.7,636.4,7.0,4.82,4.96,13.7,77.5,1,1002200.0,12.8,0,0,0.0,1,1,6.48
610.8,678.1,7.0,5.14,5.33,29.5,94.2,0,1177000.0,9.0,0,0,0.0,0,3,7.0
805.3,780.8,7.0,5.32,5.39,16.6,90.4,0,1166200.0,4.4,1,0,0.0,0,1,7.0
578.8,666.0,7.0,4.28,4.48,7.8,91.3,1,557600.0,9.3,2,0,0.0,0,3,6.1
551.0,606.2,7.0,4.72,4.86,12.1,78.1,1,492400.0,3.5,0,0,0.0,1,1,5.97
582.1,729.2,7.0,4.99,4.96,9.7,84.9,0,671000.0,31.0,2,0,0.0,1,2,6.1
779.8,737.7,7.0,5.06,4.95,19.5,83.9,0,533800.0,34.4,1,0,0.0,1,1,6.54
809.5,731.6,7.0,5.26,5.25,11.2,78.1,0,500700.0,1.9,2,0,0.0,0,2,7.0
752.2,722.6,7.0,4.92,5.1,10.4,92.9,2,229600.0,1.2,2,1,17.3,0,1,6.13
525.9,561.0,7.0,4.39,4.58,19.8,88.8,0,362900.0,10.6,1,0,0.0,0,3,5.4
768.0,769.8,7.0,5.0,5.07,30.3,95.2,1,398300.0,11.6,1,1,18.6,1,3,6.21
850.0,791.5,7.0,5.16,5.27,9.9,96.3,0,4513300.0,15.5,1,0,0.0,0,2,6.75
632.3,644.5,7.0,5.08,5.16,5.9,83.0,0,382500.0,7.8,1,1,17.0,0,0,6.29
582.8,601.7,7.0,4.27,4.39,27.1,82.9,1,1121400.0,10.8,1,1,13.6,0,1,6.04
796.6,827.9,7.0,5.84,5.8,5.8,89.6,1,2919600.0,9.1,0,1,27.9,0,1,6.38
678.2,656.1,7.0,4.21,4.46,7.0,92.5,0,1307900.0,2.8,0,1,6.6,0,2,5.76
618.0,670.0,7.0,4.93,4.97,24.9,79.6,0,834100.0,4.6,0,0,0.0,1,2,6.03
771.5,764.3,7.0,5.08,5.14,7.2,97.6,0,764800.0,10.8,1,0,0.0,1,1,5.98
703.9,701.6,7.0,4.84,4.83,11.9,75.2,0,612600.0,20.2,2,1,29.1,1,5,6.55
707.0,722.3,7.0,5.43,5.43,18.9,66.6,1,3814100.0,13.9,1,0,0.0,0,3,6.21
684.1,725.5,7.0,4.84,4.99,16.9,75.6,0,385100.0,1.5,1,0,0.0,0,1,5.77
641.9,689.3,7.0,5.13,5.12,8.7,63.2,0,454600.0,15.8,1,1,30.2,0,1,5.91
566.0,554.7,7.0,4.69,4.85,13.8,74.0,1,1132700.0,27.9,0,1,1.8,0,3,5.02
729.5,765.4,7.0,4.93,5.0,2.0,50.0,0,972200.0,3.3,1,0,0.0,1,2,6.03
763.1,770.0,7.0,5.31,5.37,3.2,81.9,2,1656800.0,34.7,1,0,0.0,1,0,6.23
674.5,675.2,7.0,4.82,4.91,21.5,86.6,0,1238600.0,14.9,2,1,10.8,1,1,7.0
673.5,629.7,7.0,4.37,4.58,9.7,54.9,0,763500.0,2.2,0,1,9.4,0,1,6.09
540.9,654.6,7.0,4.54,4.68,7.1,91.0,2,889600.0,3.7,1,0,0.0,1,1,5.78
779.1,735.9,7.0,5.05,5.05,10.1,95.2,2,1388000.0,26.9,0,0,0.0,1,1,6.29
691.1,719.3,7.0,4.49,4.52,7.5,84.3,0,996600.0,12.1,1,0,0.0,0,1,6.9
798.0,778.8,7.0,5.38,5.45,15.2,85.4,1,830500.0,3.3,2,0,0.0,0,0,6.65
604.2,640.7,7.0,4.84,4.93,8.1,75.8,0,4872200.0,7.9,2,1,9.3,0,3,5.86
657.5,634.6,7.0,4.69,4.77,17.3,70.7,0,449500.0,12.2,0,1,35.7,1,0,6.14
723.6,687.7,7.0,4.6,4.63,4.4,79.9,0,535400.0,20.7,1,0,0.0,0,2,5.78
736.3,719.8,7.0,4.66,4.76,19.7,71.1,2,303300.0,6.4,0,1,27.1,0,5,5.48
672.1,688.4,7.0,5.29,5.39,6.7,73.0,1,2088100.0,10.5,1,0,0.0,0,1,5.49
618.4,645.7,7.0,5.13,5.29,15.6,89.9,1,722500.0,24.4,1,1,6.7,1,0,6.2
739.8,699.3,7.0,5.14,5.1,21.1,74.4,0,453300.0,12.7,0,0,0.0,1,1,7.0
697.7,664.4,7.0,4.51,4.72,13.4,78.5,0,1996800.0,10.2,0,1,8.5,1,5,6.79
646.9,723.2,7.0,4.84,4.94,14.4,60.1,0,250700.0,6.1,1,1,37.2,0,0,5.89
644.5,681.6,7.0,4.62,4.79,11.9,58.8,1,410900.0,13.2,1,0,0.0,0,0,6.76
530.7,603.0,7.0,4.76,4.78,9.9,94.1,0,490500.0,10.1,1,0,0.0,1,1,6.67
